target_phone,n_samples,gold_errors,predicted_errors,false_positives,false_negatives,true_negatives,true_positives,mean_proxy_gop_score,gold_error_rate,predicted_error_rate,false_positive_rate,false_negative_rate
AH,4329,228,950,874,152,76,3227,0.606163765072765,0.05266805266805267,0.21945021945021945,0.2018942018942019,0.03511203511203511
N,2929,100,200,190,90,10,2639,0.6969264482758621,0.03414134516899966,0.06828269033799932,0.06486855582109935,0.03072721065209969
L,1836,90,8,7,89,1,1739,0.7236455893246188,0.049019607843137254,0.004357298474945534,0.003812636165577342,0.04847494553376906
S,2100,77,0,0,77,0,2023,0.7173959904761905,0.03666666666666667,0.0,0.0,0.03666666666666667
IH,2889,112,474,434,72,40,2343,0.6345437680858429,0.03876773970231914,0.1640706126687435,0.15022499134648667,0.024922118380062305
T,3623,79,351,337,65,14,3207,0.792012231576042,0.021805133866961084,0.09688103781396633,0.09301683687551753,0.017940932928512284
DH,1368,62,1,1,62,0,1305,0.7939046739766082,0.04532163742690058,0.0007309941520467836,0.0007309941520467836,0.04532163742690058
R,1175,62,46,44,60,2,1069,0.632181180425532,0.05276595744680851,0.03914893617021276,0.0374468085106383,0.05106382978723404
IY,1830,61,160,148,49,12,1621,0.6851409530054644,0.03333333333333333,0.08743169398907104,0.08087431693989071,0.026775956284153007
Z,1265,52,38,34,48,4,1179,0.7105370355731225,0.04110671936758893,0.030039525691699605,0.026877470355731226,0.037944664031620556
M,1441,49,30,27,46,3,1365,0.72954039833449,0.034004163775156145,0.020818875780707843,0.018736988202637056,0.031922276197085354
EH,1248,95,377,327,45,50,826,0.5389168934294871,0.07612179487179487,0.3020833333333333,0.2620192307692308,0.036057692307692304
AY,1108,65,131,109,43,22,934,0.6812176750902527,0.058664259927797835,0.11823104693140794,0.0983754512635379,0.0388086642599278
AE,1414,50,155,147,42,8,1217,0.689029459688826,0.03536067892503536,0.10961810466760961,0.10396039603960396,0.0297029702970297
EY,791,88,303,256,41,47,447,0.5136056295828065,0.11125158027812895,0.38305941845764857,0.32364096080910243,0.051833122629582805
ER,670,51,228,212,35,16,407,0.5338595283582089,0.07611940298507462,0.3402985074626866,0.3164179104477612,0.05223880597014925
OW,763,36,121,118,33,3,609,0.6013869344692006,0.047182175622542594,0.15858453473132372,0.15465268676277852,0.04325032765399738
D,1750,62,394,363,31,31,1325,0.7479563377142857,0.03542857142857143,0.22514285714285714,0.20742857142857143,0.017714285714285714
K,1306,31,38,37,30,1,1238,0.8810029027565085,0.023736600306278714,0.02909647779479326,0.028330781010719754,0.022970903522205207
UH,558,38,87,78,29,9,442,0.5834047293906811,0.06810035842293907,0.15591397849462366,0.13978494623655913,0.05197132616487455
W,1524,29,13,12,28,1,1483,0.8057886161417323,0.019028871391076115,0.00853018372703412,0.007874015748031496,0.01837270341207349
AO,722,41,144,130,27,14,551,0.6037564639889197,0.05678670360110803,0.1994459833795014,0.18005540166204986,0.037396121883656507
UW,1395,28,39,38,27,1,1329,0.7490283749103943,0.02007168458781362,0.02795698924731183,0.02724014336917563,0.01935483870967742
SH,332,26,0,0,26,0,306,0.6393534006024096,0.0783132530120482,0.0,0.0,0.0783132530120482
F,833,25,0,0,25,0,808,0.7915538151260504,0.030012004801920768,0.0,0.0,0.030012004801920768
NG,556,28,78,72,22,6,456,0.5552233561151079,0.050359712230215826,0.14028776978417265,0.12949640287769784,0.039568345323741004
AA,401,22,19,19,22,0,360,0.7083748204488779,0.05486284289276808,0.04738154613466334,0.04738154613466334,0.05486284289276808
HH,985,21,0,0,21,0,964,0.8370456974619289,0.02131979695431472,0.0,0.0,0.02131979695431472
AW,324,22,52,48,18,4,254,0.6024461851851852,0.06790123456790123,0.16049382716049382,0.14814814814814814,0.05555555555555555
TH,331,24,43,36,17,7,271,0.4727153716012084,0.07250755287009064,0.1299093655589124,0.10876132930513595,0.0513595166163142
V,766,17,0,0,17,0,749,0.7443123759791123,0.022193211488250653,0.0,0.0,0.022193211488250653
P,621,10,1,1,10,0,610,0.8759871368760065,0.01610305958132045,0.001610305958132045,0.001610305958132045,0.01610305958132045
B,818,9,4,4,9,0,805,0.9096844315403423,0.011002444987775062,0.004889975550122249,0.004889975550122249,0.011002444987775062
G,508,9,1,1,9,0,498,0.9094167244094489,0.017716535433070866,0.001968503937007874,0.001968503937007874,0.017716535433070866
CH,170,7,0,0,7,0,163,0.6784663823529412,0.041176470588235294,0.0,0.0,0.041176470588235294
Y,600,5,0,0,5,0,595,0.83350519,0.008333333333333333,0.0,0.0,0.008333333333333333
ZH,19,5,0,0,5,0,14,0.5697188421052631,0.2631578947368421,0.0,0.0,0.2631578947368421
JH,153,3,0,0,3,0,150,0.7161825816993465,0.0196078431372549,0.0,0.0,0.0196078431372549
OY,20,2,5,5,2,0,13,0.48855044999999997,0.1,0.25,0.25,0.1
